City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-05-01 04:08:30,-53.15,-70.9167,42.12,40,9.22
1,Iqaluit,CA,2022-05-01 04:08:30,63.7506,-68.5145,16.7,96,2.53
2,Hambantota,LK,2022-05-01 04:06:14,6.1241,81.1185,82.74,75,8.05
3,Muros,ES,2022-05-01 04:04:56,42.7762,-9.0603,55.83,59,4.45
4,Tuatapere,NZ,2022-05-01 04:08:31,-46.1333,167.6833,55.42,100,1.3
5,Kapaa,US,2022-05-01 04:04:23,22.0752,-159.319,80.58,75,17.27
6,Haines Junction,CA,2022-05-01 04:08:32,60.7522,-137.5108,35.78,99,3.24
7,Fairbanks,US,2022-05-01 04:02:27,64.8378,-147.7164,51.49,16,4.83
8,Chapais,CA,2022-05-01 04:08:32,49.7834,-74.8492,28.31,6,3.69
9,Bubaque,GW,2022-05-01 04:06:47,11.2833,-15.8333,76.78,32,5.23
10,Mahebourg,MU,2022-05-01 04:04:44,-20.4081,57.7,77.25,20,10.13
11,Trairi,BR,2022-05-01 04:08:33,-3.2778,-39.2689,75.87,71,6.4
12,Upernavik,GL,2022-05-01 04:03:49,72.7868,-56.1549,-3.41,6,7.7
13,Ushuaia,AR,2022-05-01 04:04:00,-54.8,-68.3,36.28,72,7.99
14,San Jose,US,2022-05-01 04:08:34,37.3394,-121.895,57.4,20,16.11
15,Tuktoyaktuk,CA,2022-05-01 04:04:18,69.4541,-133.0374,33.44,98,11.25
16,Ilulissat,GL,2022-05-01 04:04:04,69.2167,-51.1,12.22,2,1.14
17,Natal,BR,2022-05-01 04:04:34,-5.795,-35.2094,75.85,0,3.44
18,Kwale,NG,2022-05-01 04:08:35,5.7063,6.4374,75.04,97,2.44
19,Oranjemund,NA,2022-05-01 04:05:51,-28.55,16.4333,55.45,0,6.22
20,Kavieng,PG,2022-05-01 04:05:12,-2.5744,150.7967,83.46,94,3.74
21,Liverpool,GB,2022-05-01 04:07:17,53.4106,-2.9779,48.81,100,8.05
22,Busselton,AU,2022-05-01 04:04:07,-33.65,115.3333,68.05,0,4.23
23,Chifeng,CN,2022-05-01 04:08:35,42.2683,118.9636,57.96,30,19.64
24,Ponta Do Sol,PT,2022-05-01 04:06:40,32.6667,-17.1,65.03,0,3.62
25,Nikolskoye,RU,2022-05-01 04:04:29,59.7035,30.7861,39.79,100,5.84
26,Hilo,US,2022-05-01 04:03:49,19.7297,-155.09,76.73,75,8.05
27,Opotiki,NZ,2022-05-01 04:08:36,-38.0833,177.2833,63.03,12,4.85
28,Bathsheba,BB,2022-05-01 04:06:31,13.2167,-59.5167,79.41,40,14.97
29,Iwaki,JP,2022-05-01 04:08:37,37.05,140.8833,61.34,100,5.01
30,Rikitea,PF,2022-05-01 04:03:45,-23.1203,-134.9692,76.64,95,10.02
31,Acatlan,MX,2022-05-01 04:08:37,20.15,-98.45,61.74,92,4.14
32,Hobart,AU,2022-05-01 04:00:46,-42.8794,147.3294,66.06,40,17.27
33,Tiksi,RU,2022-05-01 04:03:54,71.6872,128.8694,34.21,100,11.25
34,Souillac,MU,2022-05-01 04:04:13,-20.5167,57.5167,77.25,25,9.62
35,Cape Town,ZA,2022-05-01 03:59:37,-33.9258,18.4232,58.1,0,8.05
36,Avarua,CK,2022-05-01 04:03:39,-21.2078,-159.775,80.65,80,8.05
37,Carnarvon,AU,2022-05-01 04:03:43,-24.8667,113.6333,83.62,0,7.85
38,Arlit,NE,2022-05-01 04:08:38,18.7369,7.3853,82.49,49,9.51
39,Flinders,AU,2022-05-01 04:06:18,-34.5833,150.8552,68.25,6,4.47
40,Lavrentiya,RU,2022-05-01 04:06:24,65.5833,-171.0,28.8,99,11.48
41,Esperance,AU,2022-05-01 04:04:27,-33.8667,121.9,68.2,0,6.96
42,Pangnirtung,CA,2022-05-01 04:07:42,66.1451,-65.7125,22.73,99,3.6
43,Airai,TL,2022-05-01 04:03:43,-8.9266,125.4092,77.11,55,5.39
44,Mataura,NZ,2022-05-01 04:04:46,-46.1927,168.8643,52.48,100,0.4
45,Kyra,RU,2022-05-01 04:08:40,49.5776,111.9753,64.04,39,13.58
46,Ossora,RU,2022-05-01 04:08:40,59.2353,163.0719,31.55,24,1.95
47,Codrington,AU,2022-05-01 04:05:25,-38.2667,141.9667,66.96,97,12.75
48,Khatanga,RU,2022-05-01 04:03:58,71.9667,102.5,22.8,100,12.21
49,Boddam,GB,2022-05-01 04:07:03,57.4667,-1.7833,46.78,100,10.67
50,Port Alfred,ZA,2022-05-01 04:03:56,-33.5906,26.891,54.18,61,1.99
51,Vaini,TO,2022-05-01 04:04:03,-21.2,-175.2,79.95,100,13.94
52,Lorengau,PG,2022-05-01 04:04:57,-2.0226,147.2712,83.14,100,4.85
53,Atuona,PF,2022-05-01 04:03:42,-9.8,-139.0333,79.23,4,11.9
54,Araouane,ML,2022-05-01 04:08:42,18.9048,-3.5265,76.05,2,12.39
55,Sorland,NO,2022-05-01 04:06:43,67.667,12.6934,38.44,100,25.21
56,Zhanaozen,KZ,2022-05-01 04:08:42,43.3,52.8,61.11,34,13.49
57,Rio Grande,BR,2022-05-01 04:07:51,-32.035,-52.0986,56.95,99,3.96
58,Fasa,IR,2022-05-01 04:08:43,28.9383,53.6482,67.24,0,13.8
59,Grindavik,IS,2022-05-01 04:06:57,63.8424,-22.4338,43.27,75,14.97
60,Sisimiut,GL,2022-05-01 04:06:19,66.9395,-53.6735,16.86,18,8.57
61,Saint George,US,2022-05-01 04:01:35,37.1041,-113.5841,72.25,0,0.0
62,West Wendover,US,2022-05-01 04:04:20,40.7391,-114.0733,53.56,100,8.03
63,Tura,IN,2022-05-01 04:04:26,25.5198,90.2201,83.93,2,2.66
64,Geraldton,AU,2022-05-01 04:08:44,-28.7667,114.6,82.81,0,9.22
65,Lebu,CL,2022-05-01 04:04:53,-37.6167,-73.65,48.92,8,13.18
66,Kodiak,US,2022-05-01 04:04:30,57.79,-152.4072,38.66,100,29.01
67,Albany,US,2022-05-01 04:04:23,42.6001,-73.9662,45.57,4,4.18
68,Mimongo,GA,2022-05-01 04:08:45,-1.6195,11.6068,68.29,100,1.83
69,Garwolin,PL,2022-05-01 04:08:45,51.8975,21.6147,47.71,79,4.32
70,Gamba,GA,2022-05-01 04:08:45,-2.65,10.0,75.07,25,3.6
71,Lugovoy,KZ,2022-05-01 04:08:46,42.9472,72.7644,76.5,8,4.56
72,Mar Del Plata,AR,2022-05-01 04:04:08,-38.0023,-57.5575,46.87,20,3.0
73,Cabo San Lucas,MX,2022-05-01 04:04:46,22.8909,-109.9124,76.6,29,7.0
74,Butaritari,KI,2022-05-01 04:04:55,3.0707,172.7902,81.55,29,13.09
75,Bredasdorp,ZA,2022-05-01 04:04:32,-34.5322,20.0403,53.24,7,3.13
76,Georgetown,MY,2022-05-01 04:01:50,5.4112,100.3354,87.73,20,4.61
77,Pisco,PE,2022-05-01 04:05:45,-13.7,-76.2167,65.01,9,1.45
78,Bluff,NZ,2022-05-01 04:04:03,-46.6,168.3333,52.81,100,2.98
79,Batemans Bay,AU,2022-05-01 04:07:13,-35.7167,150.1833,70.92,33,5.37
80,Roros,NO,2022-05-01 04:08:47,62.5747,11.3842,33.64,100,4.61
81,New Norfolk,AU,2022-05-01 04:04:23,-42.7826,147.0587,65.7,100,1.01
82,Iki-Burul,RU,2022-05-01 04:08:48,45.8208,44.6472,56.01,99,13.06
83,Castro,BR,2022-05-01 04:04:16,-24.7911,-50.0119,56.71,79,2.91
84,Dikson,RU,2022-05-01 04:08:48,73.5069,80.5464,17.78,100,17.78
85,Kearney,US,2022-05-01 04:08:49,40.6995,-99.0815,46.96,0,8.05
86,Yulara,AU,2022-05-01 04:04:49,-25.2406,130.9889,73.83,100,14.85
87,Prainha,BR,2022-05-01 04:08:50,-1.8,-53.48,73.9,99,2.75
88,Khandbari,NP,2022-05-01 04:08:50,27.3747,87.2039,78.64,97,3.65
89,Port Hardy,CA,2022-05-01 04:00:42,50.6996,-127.4199,49.37,62,6.73
90,Matay,EG,2022-05-01 04:08:51,28.419,30.7792,67.17,0,8.08
91,Rawalpindi,PK,2022-05-01 04:08:52,33.6007,73.0679,92.23,0,1.01
92,Xining,CN,2022-05-01 04:07:16,36.6167,101.7667,40.86,84,3.87
93,Saint-Philippe,RE,2022-05-01 04:03:55,-21.3585,55.7679,76.59,24,6.82
