City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Pierre,RE,73.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
4,Copperas Cove,US,80.8,broken clouds,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
7,Vaini,TO,79.52,overcast clouds,-21.2,-175.2,Keleti Beach Resort
8,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
10,Rikitea,PF,76.59,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Half Moon Bay,US,75.54,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
19,Touros,BR,79.18,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
21,Neiafu,TO,86.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
23,Bengkulu,ID,78.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
26,Taoudenni,ML,77.61,clear sky,22.6783,-3.9836,
27,Abaetetuba,BR,74.8,moderate rain,-1.7181,-48.8825,Hotel Joanayna
28,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
29,Luoyang,CN,71.44,clear sky,34.6836,112.4536,易家国际青年旅舍
30,Ukiah,US,76.64,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
32,Kharhial,IN,87.28,clear sky,20.2833,82.7667,Jeevan Chhaya
33,Chimore,BO,73.62,overcast clouds,-16.9833,-65.1333,Bichito
42,Anito,PH,84.15,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
48,Atuona,PF,78.37,overcast clouds,-9.8,-139.0333,Villa Enata
54,Maragogi,BR,76.55,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
56,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Kavieng,PG,84.94,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
60,Hilo,US,77.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
62,Male,MV,85.24,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
63,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
68,Dingle,PH,84.96,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
69,Faanui,PF,81.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Chumphon,TH,74.98,overcast clouds,10.3333,98.8333,สกาน จ๋า.
82,Umm Kaddadah,SD,79.83,clear sky,13.6017,26.6876,
83,Coahuayana,MX,78.1,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
86,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
88,Cabo Rojo,PR,79.9,light rain,18.0866,-67.1457,Hotel Perichi's
89,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
91,Valle De Allende,MX,83.98,scattered clouds,26.9333,-105.4,Hotel Meson de San Bartolome
94,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
96,Warri,NG,76.17,overcast clouds,5.5167,5.75,BON Hotel Delta
97,Saint George,US,73.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
100,Buala,SB,84.76,light rain,-8.145,159.5921,Maringe Lagoon Lodge
104,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
105,Caravelas,BR,74.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
107,Monrovia,LR,80.47,moderate rain,6.3005,-10.7969,Sunset Inn
108,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Koumac,NC,79.66,broken clouds,-20.5667,164.2833,Le Monitel
113,Sao Jose Da Coroa Grande,BR,77.07,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
114,Xuddur,SO,71.51,light rain,4.1213,43.8894,Banjanay Hotel
115,Road Town,VG,78.87,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
116,Hithadhoo,MV,85.53,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Butaritari,KI,81.37,light rain,3.0707,172.7902,Isles Sunset Lodge
123,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
124,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
127,Manta,EC,75.09,overcast clouds,-0.95,-80.7333,Balandra Hotel
131,Cockburn Town,TC,77.09,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
132,Puerto Ayora,EC,72.41,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
134,Saint-Philippe,RE,73.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Pousada Porto Praia
136,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
