City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,38.86,87,20,9.22,few clouds
1,Saint-Pierre,RE,-21.3393,55.4781,73.29,72,0,5.75,clear sky
2,Severo-Kurilsk,RU,50.6789,156.125,36.23,85,83,8.43,broken clouds
3,Totma,RU,59.9747,42.7642,26.56,96,83,3.58,broken clouds
4,Copperas Cove,US,31.1241,-97.9031,80.8,61,75,11.5,broken clouds
5,Alausi,EC,-2.2,-78.8333,48.27,89,98,6.02,overcast clouds
6,Busselton,AU,-33.65,115.3333,65.37,73,64,2.75,broken clouds
7,Vaini,TO,-21.2,-175.2,79.52,82,100,15.21,overcast clouds
8,Cabedelo,BR,-6.9811,-34.8339,77.67,83,23,9.71,few clouds
9,Tasiilaq,GL,65.6145,-37.6368,19.18,56,75,4.81,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,76.59,70,100,6.2,overcast clouds
11,Thompson,CA,55.7435,-97.8558,26.76,86,100,12.66,overcast clouds
12,Egvekinot,RU,66.3167,-179.1667,18.3,62,20,3.71,few clouds
13,Constantine,DZ,36.365,6.6147,49.41,87,0,5.75,clear sky
14,East London,ZA,-33.0153,27.9116,60.64,77,0,6.58,clear sky
15,Prijepolje,RS,43.3719,19.6406,46.49,96,100,2.68,overcast clouds
16,Bonavista,CA,48.6499,-53.1147,36.99,96,100,3.04,overcast clouds
17,Half Moon Bay,US,37.4636,-122.4286,75.54,77,0,12.66,haze
18,New Norfolk,AU,-42.7826,147.0587,65.91,64,100,1.99,overcast clouds
19,Touros,BR,-5.1989,-35.4608,79.18,83,98,10.8,overcast clouds
20,Qaanaaq,GL,77.484,-69.3632,6.3,68,19,6.46,few clouds
21,Neiafu,TO,-18.65,-173.9833,86.68,79,75,5.75,broken clouds
22,Kodiak,US,57.79,-152.4072,39.31,88,98,12.37,overcast clouds
23,Bengkulu,ID,-3.8004,102.2655,78.94,81,99,3.85,overcast clouds
24,Cap Malheureux,MU,-19.9842,57.6142,73.47,80,2,7.76,clear sky
25,Cidreira,BR,-30.1811,-50.2056,64.69,72,100,6.64,overcast clouds
26,Taoudenni,ML,22.6783,-3.9836,77.61,23,6,10.09,clear sky
27,Abaetetuba,BR,-1.7181,-48.8825,74.8,97,100,7.18,moderate rain
28,Georgetown,MY,5.4112,100.3354,82.33,89,40,6.91,scattered clouds
29,Luoyang,CN,34.6836,112.4536,71.44,20,7,8.48,clear sky
30,Ukiah,US,39.1502,-123.2078,76.64,51,0,5.99,clear sky
31,Hermanus,ZA,-34.4187,19.2345,59.81,85,27,9.37,scattered clouds
32,Kharhial,IN,20.2833,82.7667,87.28,43,10,6.17,clear sky
33,Chimore,BO,-16.9833,-65.1333,73.62,87,100,2.93,overcast clouds
34,Husavik,IS,66.0449,-17.3389,27.36,75,100,8.41,overcast clouds
35,Cape Town,ZA,-33.9258,18.4232,59.11,80,100,5.01,overcast clouds
36,Jamestown,US,42.097,-79.2353,55.02,92,100,3.0,overcast clouds
37,Ayan,RU,56.45,138.1667,30.63,91,96,5.3,overcast clouds
38,Albany,US,42.6001,-73.9662,58.17,47,100,2.04,overcast clouds
39,Yulara,AU,-25.2406,130.9889,66.61,41,99,11.03,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,42.53,76,0,7.72,clear sky
41,Dikson,RU,73.5069,80.5464,10.45,94,100,11.34,overcast clouds
42,Anito,PH,12.4497,125.2886,84.15,67,100,6.85,overcast clouds
43,San Quintin,MX,30.4833,-115.95,61.97,72,0,14.99,clear sky
44,Lompoc,US,34.6391,-120.4579,67.57,69,0,28.01,clear sky
45,Leningradskiy,RU,69.3833,178.4167,18.77,75,80,8.88,broken clouds
46,Baoying,CN,33.2292,119.3092,66.22,48,41,11.43,scattered clouds
47,Tiksi,RU,71.6872,128.8694,17.17,82,60,11.01,broken clouds
48,Atuona,PF,-9.8,-139.0333,78.37,81,100,13.0,overcast clouds
49,Lebu,CL,-37.6167,-73.65,52.45,90,0,15.1,clear sky
50,Carmo,BR,-21.9336,-42.6086,66.96,86,0,3.65,clear sky
51,Calvia,ES,39.5657,2.5062,59.92,83,11,5.91,few clouds
52,Palmer,US,42.1584,-72.3287,56.77,61,100,4.29,overcast clouds
53,Tsuruoka,JP,38.7217,139.8217,51.48,54,16,7.96,few clouds
54,Maragogi,BR,-9.0122,-35.2225,76.55,87,32,5.55,scattered clouds
55,Saint Anthony,US,45.0205,-93.218,44.65,85,100,14.97,overcast clouds
56,Mahebourg,MU,-20.4081,57.7,73.26,94,20,1.14,few clouds
57,Campbell River,CA,50.0163,-125.2446,54.59,83,100,11.39,overcast clouds
58,Kanye,BW,-24.9667,25.3327,56.64,59,0,5.46,clear sky
59,Kavieng,PG,-2.5744,150.7967,84.94,71,86,9.6,overcast clouds
60,Hilo,US,19.7297,-155.09,77.29,97,100,4.61,moderate rain
61,Pevek,RU,69.7008,170.3133,19.85,70,100,8.21,overcast clouds
62,Male,MV,4.1748,73.5089,85.24,74,100,17.25,overcast clouds
63,Praia,CV,14.9215,-23.5087,70.34,78,20,5.75,few clouds
64,Bluff,NZ,-46.6,168.3333,64.8,74,34,11.77,scattered clouds
